id	sym	WT_6_hr_DMSO_1	WT_6_hr_DMSO_2	WT_6_hr_DMSO_3	WT_6_hr_Tunicamycin_1	WT_6_hr_Tunicamycin_2	WT_6_hr_Tunicamycin_3
ENSMUSG00000044633	B530045E10Rik	0	0	0	0	0	0
ENSMUSG00000044636	Csrnp2	46	52	73	82	48	53
ENSMUSG00000044641	Pard6b	152	132	210	201	175	220
ENSMUSG00000044645	Gm7334	0	0	0	0	2	3
ENSMUSG00000044646	Zbtb7c	16	33	10	25	9	15
ENSMUSG00000044647	Csrnp3	0	0	0	0	0	0
ENSMUSG00000044667	Plppr4	0	3	0	0	0	0
ENSMUSG00000044674	Fzd1	241	192	322	170	175	274
ENSMUSG00000044676	Zfp612	90	148	202	268	217	238
ENSMUSG00000044678	Ly6k	0	1	1	0	0	0
ENSMUSG00000044681	Cnpy1	0	0	0	0	0	0
ENSMUSG00000044689	Gm13749	0	0	0	0	0	0
ENSMUSG00000044694	2010007H06Rik	4	10	4	3	2	17
ENSMUSG00000044700	Tmem201	390	565	621	472	372	472
ENSMUSG00000044701	Il27	3	2	2	3	4	5
ENSMUSG00000044702	Palb2	18	7	32	16	14	25
ENSMUSG00000044703	Phf11a	9	10	5	10	10	8
ENSMUSG00000044707	Ccnjl	2	0	7	4	3	2
ENSMUSG00000044708	Kcnj10	31	25	47	55	44	47
ENSMUSG00000044709	Gemin7	370	260	360	268	261	296
ENSMUSG00000044712	Slc38a6	559	774	768	1278	847	1143
ENSMUSG00000044715	Gskip	185	198	234	156	165	166
ENSMUSG00000044716	Dok7	1	1	2	1	2	4
ENSMUSG00000044719	E230025N22Rik	0	0	1	0	1	2
ENSMUSG00000044724	Gpr152	0	1	1	0	1	0
ENSMUSG00000044726	Erich5	2	10	6	3	3	2
ENSMUSG00000044730	9930104L06Rik	120	126	182	402	300	336
ENSMUSG00000044734	Serpinb1a	119	97	191	72	75	56
ENSMUSG00000044737	Klk14	0	0	0	0	0	0
ENSMUSG00000044748	Defb1	42	26	36	7	13	13
ENSMUSG00000044749	Abca6	4705	6955	9785	2416	2648	2805
ENSMUSG00000044751	Gm12231	0	1	1	0	1	0
ENSMUSG00000044757	Gm6430	0	1	0	1	1	2
ENSMUSG00000044763	Trmt10c	439	339	535	1231	930	992
ENSMUSG00000044768	D1Ertd622e	438	289	573	367	310	393
ENSMUSG00000044770	Scml4	3	3	4	8	4	6
ENSMUSG00000044783	Hjurp	1876	3209	2886	2376	2287	2779
ENSMUSG00000044786	Zfp36	1463	1983	1098	2565	2015	1886
ENSMUSG00000044788	Fads6	3579	4052	5047	3629	3859	4952
ENSMUSG00000044791	Setd2	908	1219	1570	2779	2012	2295
ENSMUSG00000044792	Isca1	858	716	1032	969	898	1148
ENSMUSG00000044795	Cyb5d1	291	351	434	772	714	765
ENSMUSG00000044798	Olfr923	0	0	0	0	0	1
ENSMUSG00000044807	Zfp354c	9	21	24	12	18	14
ENSMUSG00000044811	Cd300c2	95	56	66	63	53	83
ENSMUSG00000044813	Shb	1077	835	1381	4109	3373	3794
ENSMUSG00000044814	Olfr543	0	0	0	0	0	0
ENSMUSG00000044816	D630023F18Rik	1	1	0	0	0	0
ENSMUSG00000044820	AY074887	6	5	9	2	1	4
ENSMUSG00000044827	Tlr1	43	28	43	48	44	42
ENSMUSG00000044835	Ankrd45	0	1	1	0	3	0
ENSMUSG00000044847	Lsm11	61	63	95	203	131	130
ENSMUSG00000044854	1700056E22Rik	12	9	7	22	12	19
ENSMUSG00000044857	Lemd2	424	409	521	1101	943	1185
ENSMUSG00000044860	Gm1123	0	0	0	0	1	1
ENSMUSG00000044864	Ankrd50	188	221	305	382	322	405
ENSMUSG00000044867	Gimap1os	4	4	1	2	2	3
ENSMUSG00000044876	Zfp444	338	298	488	131	115	170
ENSMUSG00000044881	Coa4	93	90	112	125	112	123
ENSMUSG00000044894	Uqcrq	3793	2365	2884	1568	1690	1911
ENSMUSG00000044906	4930503L19Rik	49	63	65	66	70	88
ENSMUSG00000044912	Syt16	0	0	0	0	0	0
ENSMUSG00000044916	1700029I15Rik	21	28	34	16	11	19
ENSMUSG00000044921	Rassf9	2	8	10	3	6	9
ENSMUSG00000044927	H1fx	2	3	1	1	2	5
ENSMUSG00000044933	Sstr3	0	1	0	0	0	1
ENSMUSG00000044934	Zfp367	481	359	550	530	486	538
ENSMUSG00000044937	Ttc41	56	125	82	367	386	524
ENSMUSG00000044938	Klhl31	0	9	1	22	30	29
ENSMUSG00000044948	Cfap43	22	29	42	52	64	74
ENSMUSG00000044949	Ubtd2	21	22	29	27	39	47
ENSMUSG00000044950	Pwwp2a	125	202	215	457	321	391
ENSMUSG00000044951	Mylk4	0	0	0	0	0	0
ENSMUSG00000044952	Kctd21	216	155	322	230	148	167
ENSMUSG00000044957	Pp2d1	0	0	1	5	2	3
ENSMUSG00000044966	Fbxo48	2	2	2	1	2	2
ENSMUSG00000044968	Napepld	32	25	39	14	16	26
ENSMUSG00000044976	Wdr72	1	2	2	0	1	0
ENSMUSG00000044982	Sft2d3	108	95	125	150	166	157
ENSMUSG00000044986	Tst	4662	4041	4313	2601	2442	3196
ENSMUSG00000044991	1110034G24Rik	109	106	137	67	57	84
ENSMUSG00000045004	Spata21	2	0	0	0	0	0
ENSMUSG00000045005	Fzd5	145	157	239	883	1030	1094
ENSMUSG00000045007	Tubg2	0	3	3	3	1	8
ENSMUSG00000045008	9030612E09Rik	0	0	0	0	0	0
ENSMUSG00000045009	Prrt3	3	2	2	5	12	10
ENSMUSG00000045010	Gm4779	0	0	0	1	0	0
ENSMUSG00000045019	Acer1	0	0	1	1	1	4
ENSMUSG00000045027	Prss22	0	0	0	0	0	1
ENSMUSG00000045030	Olfr1443	0	0	2	1	1	1
ENSMUSG00000045031	Cetn4	8	4	1	0	2	5
ENSMUSG00000045034	Ankrd34b	0	0	0	0	0	0
ENSMUSG00000045038	Prkce	251	363	362	843	644	794
ENSMUSG00000045039	Megf8	151	255	355	259	228	293
ENSMUSG00000045045	Lrfn4	36	87	64	37	35	33
ENSMUSG00000045052	Prlhr	0	0	0	0	0	0
ENSMUSG00000045053	Kcng3	2	0	0	0	1	0
ENSMUSG00000045055	Rpsa-ps2	1	0	0	1	0	0
ENSMUSG00000045062	Pcdhb7	0	4	0	0	2	0
ENSMUSG00000045064	Zc2hc1c	58	63	112	34	19	34
ENSMUSG00000045071	E130308A19Rik	132	136	149	156	125	154
ENSMUSG00000045075	Gm9796	2	2	5	4	2	6
ENSMUSG00000045078	Rnf216	435	531	656	737	678	797
ENSMUSG00000045087	S1pr5	195	87	312	4	6	17
ENSMUSG00000045092	S1pr1	1542	1098	1770	171	173	243
ENSMUSG00000045094	Arhgef37	175	339	355	156	85	150
ENSMUSG00000045095	Magi1	526	729	795	1036	938	1000
ENSMUSG00000045098	Suv420h1	587	795	920	2487	2060	2271
ENSMUSG00000045100	Slc25a26	158	142	163	146	123	155
ENSMUSG00000045102	Poln	0	0	0	1	1	1
ENSMUSG00000045103	Dmd	939	1120	1420	1376	1700	1768
ENSMUSG00000045106	Ccdc73	31	34	63	59	41	47
ENSMUSG00000045107	Saysd1	218	159	269	249	200	257
ENSMUSG00000045114	Prrt2	0	0	1	0	0	1
ENSMUSG00000045128	Rpl18a	3013	2275	2822	3075	3427	3757
ENSMUSG00000045136	Tubb2b	0	1	0	1	2	0
ENSMUSG00000045140	Pigw	128	100	147	232	213	251
ENSMUSG00000045160	Bola3	821	717	731	321	387	517
ENSMUSG00000045165	AI467606	4	6	7	3	4	8
ENSMUSG00000045174	Amer3	0	0	0	0	0	0
ENSMUSG00000045176	Borcs6	110	89	123	278	267	279
ENSMUSG00000045180	Shroom2	392	518	589	541	430	573
ENSMUSG00000045193	Cirbp	190	385	209	228	335	458
ENSMUSG00000045201	Lrrc3b	0	0	0	0	1	0
ENSMUSG00000045205	Dpy19l4	381	450	444	503	475	563
ENSMUSG00000045210	Vcpip1	1037	1166	1374	2035	1550	1546
ENSMUSG00000045211	Nudt18	197	250	168	504	429	511
ENSMUSG00000045215	Asxl3	2	0	0	2	0	0
ENSMUSG00000045216	Hs6st1	2721	2389	3682	2972	3537	3513
ENSMUSG00000045231	BC106179	2	6	1	3	0	6
ENSMUSG00000045232	Rln3	1	0	0	0	0	0
ENSMUSG00000045237	1110012L19Rik	260	218	298	133	163	183
ENSMUSG00000045246	Kcng4	0	0	0	1	1	0
ENSMUSG00000045248	Med26	99	71	132	228	174	174
ENSMUSG00000045251	Zfp688	55	64	80	99	80	103
ENSMUSG00000045252	Zfp574	231	242	371	361	377	320
ENSMUSG00000045257	Morn2	51	57	54	32	28	43
ENSMUSG00000045259	Klhdc9	0	1	2	0	0	1
ENSMUSG00000045268	Zfp691	86	103	159	221	187	230
ENSMUSG00000045273	Cenph	9	5	7	0	2	5
ENSMUSG00000045275	Lca5l	3	0	4	3	1	2
ENSMUSG00000045281	Gpr20	0	0	0	0	0	0
ENSMUSG00000045282	Tmem86b	1340	1329	1449	653	687	970
ENSMUSG00000045284	Dcaf12l1	105	157	109	33	52	71
ENSMUSG00000045287	Rtn4rl1	247	115	460	645	317	457
ENSMUSG00000045288	Ush1g	3	9	7	13	7	9
ENSMUSG00000045294	Insig1	8645	13846	5728	3266	3186	4056
ENSMUSG00000045302	Preb	1697	2251	2159	6937	7166	8424
ENSMUSG00000045312	Lhfpl2	116	161	223	610	406	472
ENSMUSG00000045314	Sowahb	153	148	178	702	330	508
ENSMUSG00000045316	Fahd1	1128	865	1374	312	302	376
ENSMUSG00000045318	Adra2c	0	0	1	0	0	0
ENSMUSG00000045319	Proser2	302	307	458	81	129	159
ENSMUSG00000045322	Tlr9	5	9	12	11	12	21
ENSMUSG00000045326	Fndc7	4	3	3	0	0	12
ENSMUSG00000045327	6330549D23Rik	15	12	15	10	11	10
ENSMUSG00000045328	Cenpe	58	17	14	22	32	43
ENSMUSG00000045333	Zfp423	8	25	7	3	2	9
ENSMUSG00000045345	9530056K15Rik	1	5	4	1	1	4
ENSMUSG00000045348	Nyap1	4	5	8	4	11	4
ENSMUSG00000045349	Sh2d5	5	3	7	9	5	8
ENSMUSG00000045350	Fam186a	5	11	1	0	0	0
ENSMUSG00000045362	Tnfrsf26	15	14	11	16	17	19
ENSMUSG00000045364	Ifne	0	0	0	0	1	0
ENSMUSG00000045374	Wdr81	933	1077	1647	4321	3951	4499
ENSMUSG00000045377	Tmem88	57	40	73	41	58	59
ENSMUSG00000045378	Pxt1	0	0	0	0	0	0
ENSMUSG00000045381	Olfr433	0	1	1	3	0	1
ENSMUSG00000045382	Cxcr4	24	14	13	29	18	18
ENSMUSG00000045392	Olfr1033	98	96	96	47	44	34
ENSMUSG00000045394	Epcam	30	64	39	22	43	51
ENSMUSG00000045404	Kcnk13	9	10	12	9	15	18
ENSMUSG00000045409	Trim39	313	409	572	3331	3411	3205
ENSMUSG00000045410	Akr1e1	866	880	738	556	556	707
ENSMUSG00000045411	2410002F23Rik	155	176	175	662	558	532
ENSMUSG00000045414	1190002N15Rik	1002	707	1328	1661	1073	1225
ENSMUSG00000045427	Hnrnph2	1020	1006	1311	1140	1172	1286
ENSMUSG00000045435	Tmem60	204	175	204	193	172	238
ENSMUSG00000045438	Cox19	432	365	437	315	337	332
ENSMUSG00000045440	Insm2	0	0	0	0	0	0
ENSMUSG00000045441	Gprin3	663	825	872	900	874	719
ENSMUSG00000045455	Gm9797	1	0	0	0	0	1
ENSMUSG00000045464	2810002D19Rik	44	34	38	29	33	44
ENSMUSG00000045466	Zfp956	71	104	114	327	486	531
ENSMUSG00000045467	Ttll13	16	16	17	22	6	17
ENSMUSG00000045471	Hcrt	0	0	0	0	0	0
ENSMUSG00000045475	Lce3c	0	0	0	0	0	0
ENSMUSG00000045482	Trrap	814	1113	1394	1244	1047	1146
ENSMUSG00000045498	Pcdhb3	1	0	0	3	0	1
ENSMUSG00000045502	Hcar2	17	10	12	19	17	4
ENSMUSG00000045503	Sys1	411	381	394	957	895	1172
ENSMUSG00000045506	A930002H24Rik	5	1	2	2	1	7
ENSMUSG00000045509	Gpr150	0	0	0	0	1	0
ENSMUSG00000045518	Onecut3	0	0	0	0	0	0
ENSMUSG00000045519	Zfp560	71	81	98	102	87	114
ENSMUSG00000045521	Tssk2	0	3	2	1	0	1
ENSMUSG00000045532	C1ql1	0	0	0	0	0	0
ENSMUSG00000045534	Kcna5	0	0	2	0	0	6
ENSMUSG00000045538	Ddx28	307	207	374	4492	3385	5120
ENSMUSG00000045545	Krt14	0	1	0	0	0	0
ENSMUSG00000045551	Fpr1	69	39	105	134	83	103
ENSMUSG00000045555	Mettl24	3	4	1	2	2	2
ENSMUSG00000045569	Mc2r	0	0	1	0	1	0
ENSMUSG00000045573	Penk	1	0	0	0	0	3
ENSMUSG00000045576	St7l	502	547	662	738	653	846
ENSMUSG00000045589	Frrs1l	0	0	0	0	0	0
ENSMUSG00000045594	Glb1	264	282	409	135	170	223
ENSMUSG00000045598	Zfp553	132	121	178	272	186	199
ENSMUSG00000045609	Gm5455	0	0	0	0	0	1
ENSMUSG00000045613	Chrm2	0	0	2	0	2	1
ENSMUSG00000045620	Odf3l1	0	0	0	0	0	0
ENSMUSG00000045624	Esf1	367	373	428	972	819	845
ENSMUSG00000045625	Pigz	4	10	13	6	6	4
ENSMUSG00000045629	Sh3tc2	21	17	24	26	16	35
ENSMUSG00000045636	Mtus1	3590	4172	6225	5920	4327	4784
ENSMUSG00000045639	Zfp629	310	479	543	352	322	312
ENSMUSG00000045657	Pcdhb10	0	0	2	1	5	1
ENSMUSG00000045658	Pid1	1919	2026	2230	1521	1147	1252
ENSMUSG00000045659	Plekha7	169	351	416	77	66	129
ENSMUSG00000045662	Henmt1	0	0	0	0	0	0
ENSMUSG00000045664	Cdc42ep2	46	38	73	59	39	76
ENSMUSG00000045665	Mfsd5	349	290	524	444	449	513
ENSMUSG00000045667	Smtnl2	22	46	24	9	9	13
ENSMUSG00000045671	Spred2	190	253	361	310	250	402
ENSMUSG00000045672	Col27a1	140	324	235	176	205	200
ENSMUSG00000045679	Pqlc3	17	23	18	95	95	97
ENSMUSG00000045680	Tcf21	98	78	84	68	58	54
ENSMUSG00000045684	Lcn6	1	0	1	0	0	1
ENSMUSG00000045689	Pcdhb4	1	2	0	5	7	4
ENSMUSG00000045690	Wdr89	8	5	5	18	21	15
ENSMUSG00000045691	Thtpa	493	528	619	377	330	409
ENSMUSG00000045709	Smkr-ps	0	0	0	0	0	4
ENSMUSG00000045725	Prr15	4	7	6	6	3	6
ENSMUSG00000045730	Adrb2	27	67	47	40	56	93
ENSMUSG00000045731	Pnoc	0	0	4	2	0	1
ENSMUSG00000045733	Sprn	29	49	32	37	57	66
ENSMUSG00000045746	B230317F23Rik	7	5	16	18	13	24
ENSMUSG00000045751	Mms22l	57	37	32	19	23	30
ENSMUSG00000045752	Tssc4	189	216	286	1071	966	1141
ENSMUSG00000045757	Zfp764	40	33	72	55	60	72
ENSMUSG00000045761	Fam179a	0	0	1	0	3	1
ENSMUSG00000045763	Basp1	28	30	11	20	17	25
ENSMUSG00000045767	B230219D22Rik	1417	1173	1775	1710	1512	1838
ENSMUSG00000045775	Slc16a5	1498	1353	2984	1806	1456	1734
ENSMUSG00000045776	Lrtm1	255	812	163	21	20	41
ENSMUSG00000045777	Ifitm10	3	3	9	4	5	9
ENSMUSG00000045790	Ccdc149	36	72	31	1408	1388	1467
ENSMUSG00000045795	Whamm	753	778	1110	1094	999	1167
ENSMUSG00000045799	Gm9800	4	4	3	5	8	4
ENSMUSG00000045802	Hsf3	1	0	0	1	0	0
ENSMUSG00000045813	Gm9801	0	0	0	0	1	1
ENSMUSG00000045817	Zfp36l2	942	1046	1279	1392	902	1232
ENSMUSG00000045822	Zswim3	37	32	43	25	30	42
ENSMUSG00000045826	Ptprcap	23	9	12	12	12	13
ENSMUSG00000045827	Serpinb9	196	213	161	113	114	163
ENSMUSG00000045838	A430105I19Rik	43	131	72	91	79	115
ENSMUSG00000045854	Lyrm2	159	163	152	128	145	184
ENSMUSG00000045867	Cradd	217	268	241	105	81	123
ENSMUSG00000045868	Gvin1	18	11	20	28	29	10
ENSMUSG00000045871	Slitrk6	0	0	0	0	0	0
ENSMUSG00000045875	Adra1a	120	94	213	60	59	100
ENSMUSG00000045876	Pcdhb8	5	5	3	1	5	2
ENSMUSG00000045877	4933415A04Rik	0	0	0	0	0	0
ENSMUSG00000045886	Gm9803	1	1	5	2	0	1
ENSMUSG00000045896	Paip2b	675	687	785	2963	3064	3784
ENSMUSG00000045903	Npas4	0	0	1	0	0	0
ENSMUSG00000045912	C2cd4c	5	2	0	6	4	1
ENSMUSG00000045915	Ccdc42	0	1	0	0	0	0
ENSMUSG00000045917	6330416G13Rik	119	133	141	210	178	289
ENSMUSG00000045928	4933440M02Rik	0	1	0	0	0	0
ENSMUSG00000045929	Gm20715	0	0	0	0	0	1
ENSMUSG00000045930	Clec14a	289	351	332	449	515	584
ENSMUSG00000045932	Ifit2	142	144	139	151	150	133
ENSMUSG00000045934	Mtmr11	39	35	50	151	190	245
ENSMUSG00000045942	BC049762	2	6	4	1	4	2
ENSMUSG00000045946	Gm9804	0	0	0	0	0	0
ENSMUSG00000045948	Mrps12	519	525	509	949	941	1093
ENSMUSG00000045954	Sdpr	348	442	468	440	537	812
ENSMUSG00000045962	Wnk1	1881	2742	3168	5123	3992	4648
ENSMUSG00000045967	Gpr158	0	0	0	0	0	0
ENSMUSG00000045968	Teddm2	6	31	24	21	10	32
ENSMUSG00000045969	Ing1	324	276	468	965	971	1270
ENSMUSG00000045973	Slc25a51	1675	2217	3787	2817	2130	2678
ENSMUSG00000045975	C2cd2	2655	3162	3863	2746	2837	2914
ENSMUSG00000045980	Tmem104	234	290	436	503	392	523
ENSMUSG00000045983	Eif4g1	9697	12463	16780	18159	17792	20563
ENSMUSG00000045991	Onecut2	2974	3506	4191	2246	1792	1968
ENSMUSG00000045994	B3gat1	0	0	0	0	0	0
ENSMUSG00000045996	Polr2k	329	224	212	212	231	285
ENSMUSG00000046005	D830044D21Rik	1	2	3	3	1	1
ENSMUSG00000046006	Gapt	5	1	1	2	1	2
ENSMUSG00000046008	Pnlip	0	0	1	0	0	0
ENSMUSG00000046010	Zfp830	134	117	211	329	268	296
ENSMUSG00000046020	Pofut1	368	431	481	506	502	608
ENSMUSG00000046027	Stard5	2811	3176	3653	4686	4422	5105
ENSMUSG00000046031	Fam26f	60	20	30	56	29	45
ENSMUSG00000046032	Snx12	298	295	386	302	303	365
ENSMUSG00000046034	Otulin	807	608	982	1059	876	1180
ENSMUSG00000046056	Sbsn	4	20	3	11	8	6
ENSMUSG00000046058	Eid2	6	11	8	11	13	33
ENSMUSG00000046062	Ppp1r15b	3155	2608	4542	3111	2823	2922
ENSMUSG00000046070	Igfals	4107	3154	4532	267	244	317
ENSMUSG00000046079	Lrrc8d	688	936	1047	1514	1245	1695
ENSMUSG00000046080	Clec9a	53	75	91	102	114	121
ENSMUSG00000046085	4931422A03Rik	4	12	13	5	6	8
ENSMUSG00000046093	Hpcal4	0	0	0	0	0	0
ENSMUSG00000046096	BC030336	514	439	681	677	588	687
ENSMUSG00000046101	Mcmdc2	3	3	4	6	5	3
ENSMUSG00000046108	Il17c	0	0	0	0	0	1
ENSMUSG00000046109	AB041806	0	0	0	0	0	0
ENSMUSG00000046111	Cep295	103	120	183	226	189	207
ENSMUSG00000046130	Vmn1r184	1	1	3	2	2	3
ENSMUSG00000046133	C130073F10Rik	0	0	0	0	0	0
ENSMUSG00000046138	9930021J03Rik	495	612	779	672	574	596
ENSMUSG00000046139	Patl1	369	416	720	967	880	921
ENSMUSG00000046145	1700018M17Rik	0	0	0	0	0	0
ENSMUSG00000046152	Fut10	22	26	22	24	28	28
ENSMUSG00000046157	Tmem229b	54	38	46	46	44	58
ENSMUSG00000046159	Chrm3	2	5	1	1	1	1
ENSMUSG00000046160	Olig1	42	17	41	0	2	2
ENSMUSG00000046167	Gldn	1	16	1	0	8	2
ENSMUSG00000046168	Kcnrg	8	6	6	7	1	5
ENSMUSG00000046169	Adamts6	24	19	45	143	82	97
ENSMUSG00000046178	Nxph1	2	0	2	1	0	0
ENSMUSG00000046179	E2f8	159	72	164	43	45	59
ENSMUSG00000046182	Gsg1l	6	2	6	2	1	6
ENSMUSG00000046185	Zfp84	151	148	207	235	182	194
ENSMUSG00000046186	Cd109	0	0	0	0	1	1
ENSMUSG00000046191	Pcdhb20	3	1	1	5	4	3
ENSMUSG00000046192	Iqub	1	1	0	1	4	4
ENSMUSG00000046196	Ttc39d	0	1	0	0	0	1
ENSMUSG00000046201	Scaf8	412	485	767	1398	1183	1235
ENSMUSG00000046204	Pnma2	0	0	0	1	1	0
ENSMUSG00000046207	Pik3r6	14	14	24	23	18	22
ENSMUSG00000046213	Cym	1	1	1	0	1	0
ENSMUSG00000046219	C230012O17Rik	0	0	0	0	0	0
ENSMUSG00000046223	Plaur	7	13	2	67	44	35
ENSMUSG00000046229	Scand1	150	138	172	111	152	198
ENSMUSG00000046230	Vps13a	422	730	1138	531	451	531
ENSMUSG00000046240	Hepacam	1	0	0	0	1	1
ENSMUSG00000046242	Nme9	0	0	2	0	2	0
ENSMUSG00000046245	Pilra	73	54	94	77	63	78
ENSMUSG00000046269	Usp27x	12	17	23	16	11	10
ENSMUSG00000046272	Olfr1444	0	0	0	0	0	1
ENSMUSG00000046275	Tusc5	3	5	7	9	7	14
ENSMUSG00000046280	She	54	74	147	163	143	200
ENSMUSG00000046287	Pnma3	0	0	0	0	0	0
ENSMUSG00000046295	Ankle1	8	9	6	5	8	15
ENSMUSG00000046311	Zfp62	363	397	455	763	570	646
ENSMUSG00000046312	AI464131	1113	905	1375	153	177	185
ENSMUSG00000046314	Stxbp6	319	357	308	155	208	255
ENSMUSG00000046317	BC107364	0	1	0	1	0	0
ENSMUSG00000046318	Ccbe1	99	127	136	137	203	202
ENSMUSG00000046321	Hs3st2	0	0	0	0	0	0
ENSMUSG00000046323	Dppa3	0	0	0	2	1	0
ENSMUSG00000046324	Ermp1	738	695	794	1543	1448	1707
ENSMUSG00000046329	Slc25a23	5107	5423	7417	1438	1553	1870
ENSMUSG00000046330	Rpl37a	1945	1650	1851	1615	1805	2028
ENSMUSG00000046334	Gm6195	0	0	0	0	0	0
ENSMUSG00000046337	Fam178b	0	0	0	0	0	0
ENSMUSG00000046338	Gpat2	36	58	25	22	41	32
ENSMUSG00000046341	Gm11223	0	1	0	0	0	0
ENSMUSG00000046345	Smco1	0	0	2	1	1	2
ENSMUSG00000046351	Zfp322a	292	277	344	1636	1208	1323
ENSMUSG00000046352	Gjb2	7506	5986	10229	8820	8893	9349
ENSMUSG00000046364	Rpl27a	2878	2604	2775	3308	3524	3665
ENSMUSG00000046367	Mgat4e	0	0	1	0	0	0
ENSMUSG00000046372	Gm5590	0	0	0	2	1	1
ENSMUSG00000046378	Asphd1	1	3	2	4	0	2
ENSMUSG00000046380	Jrk	31	44	27	100	65	115
ENSMUSG00000046387	Pcdhb17	10	11	10	12	13	14
ENSMUSG00000046388	Gm9806	1	0	1	0	2	0
ENSMUSG00000046402	Rbp1	638	423	345	186	302	258
ENSMUSG00000046404	Yod1	445	533	772	1982	2023	1436
ENSMUSG00000046408	1700067K01Rik	7	14	22	5	8	21
ENSMUSG00000046410	Kcnk6	51	65	69	96	81	107
ENSMUSG00000046413	Irx3os	0	0	0	4	7	7
ENSMUSG00000046415	B430212C06Rik	2	2	2	1	0	1
ENSMUSG00000046417	Lrrc75a	31	6	43	14	9	8
ENSMUSG00000046432	Ngfrap1	23	15	20	17	22	30
ENSMUSG00000046434	Hnrnpa1	951	1274	1005	2454	2634	2834
ENSMUSG00000046440	Gm5564	1	0	0	0	0	1
ENSMUSG00000046441	Cmtr2	66	69	101	252	200	209
ENSMUSG00000046442	Ppm1e	2	4	6	4	7	11
ENSMUSG00000046447	Camk2n1	2383	1594	3348	717	751	788
ENSMUSG00000046449	C77370	1	1	5	8	3	5
ENSMUSG00000046456	Tmem150b	4	7	7	2	1	7
ENSMUSG00000046460	Sh2d7	0	0	0	0	0	2
ENSMUSG00000046463	5930403N24Rik	0	2	1	4	2	5
ENSMUSG00000046470	Sox18	59	63	75	90	71	111
ENSMUSG00000046480	Scn4b	5	0	4	1	3	4
ENSMUSG00000046487	Mospd4	1	0	3	1	0	0
ENSMUSG00000046490	Rnf222	1	1	0	1	5	2
ENSMUSG00000046491	C1qtnf2	23	16	16	15	13	17
ENSMUSG00000046500	Fam19a4	0	0	0	0	0	0
ENSMUSG00000046516	Cox17	49	88	68	118	106	154
ENSMUSG00000046519	Golph3l	170	168	194	684	667	736
ENSMUSG00000046523	Kctd4	1	0	1	1	1	0
ENSMUSG00000046532	Ar	178	255	253	130	75	33
ENSMUSG00000046541	Zfp526	96	102	124	140	152	147
ENSMUSG00000046546	Fam43a	105	105	157	130	117	162
ENSMUSG00000046550	Spin2c	10	8	5	2	14	20
ENSMUSG00000046556	Zfp319	113	128	172	203	195	171
ENSMUSG00000046561	Arsj	0	0	0	0	0	0
ENSMUSG00000046562	Unc119b	874	734	1134	1419	1442	1599
ENSMUSG00000046567	4930430F08Rik	79	92	116	87	83	100
ENSMUSG00000046572	Zfp518b	33	63	66	373	248	295
ENSMUSG00000046573	Lyrm4	214	118	169	280	261	327
ENSMUSG00000046574	Prr12	211	284	363	214	152	189
ENSMUSG00000046580	Gm7862	7	4	7	1	6	1
ENSMUSG00000046589	Lrrc8e	3	5	9	39	32	63
ENSMUSG00000046591	Ticrr	4	5	6	8	5	7
ENSMUSG00000046593	Tmem215	2	1	1	2	1	6
ENSMUSG00000046598	Bdh1	6102	4793	6978	2354	2585	3543
ENSMUSG00000046603	Tcaim	440	534	487	449	362	420
ENSMUSG00000046605	B3gntl1	58	83	92	351	277	391
ENSMUSG00000046607	Hrk	3	2	20	33	8	19
ENSMUSG00000046610	Oacyl	0	0	0	0	0	0
ENSMUSG00000046613	Vwa5b2	0	0	0	0	0	0
ENSMUSG00000046618	Olfml2a	8	7	7	5	4	12
ENSMUSG00000046623	Gjb4	0	0	0	0	0	0
ENSMUSG00000046634	Pkd1l1	2	1	1	1	1	4
ENSMUSG00000046636	Gm7729	2	0	0	0	0	0
ENSMUSG00000046637	Ttc34	0	0	0	0	0	0
ENSMUSG00000046652	Tas2r143	0	0	0	0	0	1
ENSMUSG00000046658	Zfp316	107	121	130	258	135	186
ENSMUSG00000046667	Rbm12b1	71	118	153	182	148	141
ENSMUSG00000046668	Cxxc5	905	681	1068	386	388	442
ENSMUSG00000046671	Mtfr1l	1474	1644	1793	1163	1134	1394
ENSMUSG00000046675	Tmem251	162	141	186	255	202	227
ENSMUSG00000046679	C87436	227	193	285	436	346	424
ENSMUSG00000046683	0610025J13Rik	1	2	1	0	1	1
ENSMUSG00000046687	Gm5424	19	19	25	11	13	13
ENSMUSG00000046688	Tifa	464	366	618	228	127	150
ENSMUSG00000046691	Chtf8	740	680	949	1422	1182	1225
ENSMUSG00000046694	Fam46b	1	5	5	4	3	8
ENSMUSG00000046699	Slitrk4	0	0	0	0	0	0
ENSMUSG00000046707	Csnk2a2	251	272	383	826	653	736
ENSMUSG00000046709	Mapk10	0	0	0	0	0	0
ENSMUSG00000046711	Hmga1	167	155	232	200	146	210
ENSMUSG00000046714	Foxc2	1	3	2	1	3	1
ENSMUSG00000046718	Bst2	3268	2126	2975	1582	1767	1949
ENSMUSG00000046719	Nxph3	2	0	0	2	4	1
ENSMUSG00000046721	Rpl14-ps1	2	2	3	4	2	7
ENSMUSG00000046722	Cdc42se1	502	469	709	608	572	881
ENSMUSG00000046723	Adam24	1	0	0	0	0	0
ENSMUSG00000046727	Cystm1	150	79	182	152	146	171
