sym	T1	T2	T3	T4	R1	R2	R3	R4
ENSMUSG00000027489	Necab3	42	24	39	15	13	10	25	11
ENSMUSG00000030327	Necap1	383	387	341	461	388	556	620	370
ENSMUSG00000028923	Necap2	19	18	29	37	45	76	57	36
ENSMUSG00000019988	Nedd1	237	212	177	177	126	212	260	174
ENSMUSG00000032216	Nedd4	22815	20149	17853	16879	13074	17397	25948	16275
ENSMUSG00000024589	Nedd4l	272	185	305	201	108	134	258	133
ENSMUSG00000010376	Nedd8	128	132	103	231	195	319	319	209
ENSMUSG00000021365	Nedd9	336	287	296	312	162	204	341	220
ENSMUSG00000020396	Nefh	0	0	0	2	1	4	1	2
ENSMUSG00000022055	Nefl	0	0	0	0	0	1	0	0
ENSMUSG00000022054	Nefm	1	1	0	0	0	1	0	0
ENSMUSG00000040037	Negr1	131	108	111	85	64	63	205	111
ENSMUSG00000032298	Neil1	6	1	7	4	9	17	10	4
ENSMUSG00000035121	Neil2	1	1	0	3	3	0	5	0
ENSMUSG00000039396	Neil3	11	8	14	7	2	3	5	5
ENSMUSG00000031644	Nek1	792	607	586	343	296	486	655	458
ENSMUSG00000042567	Nek10	20	15	21	22	12	21	10	15
ENSMUSG00000035032	Nek11	0	0	3	1	0	1	2	0
ENSMUSG00000026622	Nek2	14	13	6	7	6	1	3	3
ENSMUSG00000031478	Nek3	83	100	75	58	43	51	95	65
ENSMUSG00000021918	Nek4	142	136	123	97	92	114	200	153
ENSMUSG00000037738	Nek5	0	0	4	3	2	0	6	5
ENSMUSG00000026749	Nek6	793	670	639	608	565	1010	983	647
ENSMUSG00000026393	Nek7	1142	1064	955	1076	964	1703	2051	1222
ENSMUSG00000017405	Nek8	27	27	31	14	30	40	42	32
ENSMUSG00000034290	Nek9	1798	1793	1521	946	747	1200	1862	1153
ENSMUSG00000029111	Nelfa	160	151	183	189	110	196	293	168
ENSMUSG00000013465	Nelfb	128	169	114	104	83	137	154	117
ENSMUSG00000016253	Nelfcd	75	86	78	87	81	101	140	100
ENSMUSG00000024369	Nelfe	76	100	73	89	69	104	124	76
ENSMUSG00000055409	Nell1	0	0	0	1	0	0	1	0
ENSMUSG00000085265	Nell1os	0	0	0	0	0	0	0	0
ENSMUSG00000022454	Nell2	3	3	0	2	0	1	1	0
ENSMUSG00000020982	Nemf	1353	1188	936	542	387	847	1098	774
ENSMUSG00000037499	Nenf	38	36	41	36	34	28	38	23
ENSMUSG00000032340	Neo1	1444	1417	1420	844	689	1070	1604	971
ENSMUSG00000038624	Nepn	2	0	0	0	2	0	0	0
ENSMUSG00000004891	Nes	12	22	20	10	4	5	17	18
ENSMUSG00000086537	Nespas	1	0	0	0	0	1	2	2
ENSMUSG00000021215	Net1	808	754	650	983	591	655	1135	649
ENSMUSG00000050321	Neto1	1	1	1	0	0	0	0	0
ENSMUSG00000036902	Neto2	18	20	6	13	12	15	29	17
ENSMUSG00000007038	Neu1	168	178	154	121	136	191	290	164
ENSMUSG00000079434	Neu2	0	0	0	0	0	0	0	0
ENSMUSG00000035239	Neu3	48	47	44	47	38	58	59	27
ENSMUSG00000034000	Neu4	0	0	0	0	0	0	0	0
ENSMUSG00000006435	Neurl1a	13	1	11	7	13	7	28	7
ENSMUSG00000034413	Neurl1b	0	3	1	1	1	5	3	2
ENSMUSG00000039873	Neurl2	2	4	7	2	10	4	7	2
ENSMUSG00000047180	Neurl3	0	1	0	1	0	0	2	0
ENSMUSG00000047284	Neurl4	82	57	85	92	87	116	148	67
ENSMUSG00000034701	Neurod1	0	0	0	3	0	0	0	0
ENSMUSG00000038255	Neurod2	0	0	3	0	0	0	0	0
ENSMUSG00000048015	Neurod4	1	1	0	1	0	0	0	1
ENSMUSG00000037984	Neurod6	0	1	0	0	0	0	0	0
ENSMUSG00000048904	Neurog1	0	0	0	0	0	0	0	0
ENSMUSG00000027967	Neurog2	0	0	0	0	0	0	0	0
ENSMUSG00000044312	Neurog3	0	0	0	0	0	0	0	0
ENSMUSG00000039103	Nexn	651	367	524	210	79	141	279	216
ENSMUSG00000020716	Nf1	1313	1214	1018	945	758	1126	1538	932
ENSMUSG00000009073	Nf2	317	287	325	352	304	490	561	375
ENSMUSG00000058099	Nfam1	0	1	0	0	1	1	0	0
ENSMUSG00000026442	Nfasc	1	1	1	0	1	0	1	1
ENSMUSG00000003847	Nfat5	9303	5598	6780	4806	2720	4733	7347	4191
ENSMUSG00000033016	Nfatc1	95	79	71	92	70	88	146	80
ENSMUSG00000027544	Nfatc2	2	0	0	1	0	0	3	0
ENSMUSG00000030722	Nfatc2ip	53	74	55	62	66	95	67	55
ENSMUSG00000031902	Nfatc3	1134	1046	950	844	723	1147	1490	956
ENSMUSG00000023411	Nfatc4	212	174	210	340	231	247	397	221
ENSMUSG00000058794	Nfe2	0	1	0	0	0	5	4	1
ENSMUSG00000038615	Nfe2l1	1035	1080	974	1099	1541	2880	2833	1619
ENSMUSG00000015839	Nfe2l2	1459	1255	1268	725	709	1255	1661	1081
ENSMUSG00000029832	Nfe2l3	53	27	41	80	42	81	74	44
ENSMUSG00000028565	Nfia	2936	2113	2587	1614	1358	2293	2916	1985
ENSMUSG00000008575	Nfib	732	617	476	428	457	801	970	584
ENSMUSG00000055053	Nfic	360	309	424	368	360	435	692	308
ENSMUSG00000056749	Nfil3	237	300	277	220	269	353	478	289
ENSMUSG00000001911	Nfix	1365	1088	1315	1335	1192	1229	2160	1208
ENSMUSG00000028163	Nfkb1	113	119	88	100	73	178	256	130
ENSMUSG00000025225	Nfkb2	24	40	24	47	54	80	88	46
ENSMUSG00000021025	Nfkbia	225	282	179	101	56	88	142	80
ENSMUSG00000030595	Nfkbib	32	17	26	34	31	69	62	32
ENSMUSG00000036931	Nfkbid	0	0	0	0	0	0	0	0
ENSMUSG00000023947	Nfkbie	35	33	26	31	23	36	45	32
ENSMUSG00000042419	Nfkbil1	6	1	4	5	13	24	11	8
ENSMUSG00000035356	Nfkbiz	259	233	272	165	188	363	454	336
ENSMUSG00000042185	Nfrkb	197	254	178	229	187	351	361	204
ENSMUSG00000027618	Nfs1	224	313	252	143	153	225	250	208
ENSMUSG00000029993	Nfu1	66	61	52	75	53	103	120	42
ENSMUSG00000028423	Nfx1	611	350	490	487	435	613	666	437
ENSMUSG00000072889	Nfxl1	185	163	92	153	144	345	292	194
ENSMUSG00000023994	Nfya	519	493	457	266	284	423	601	477
ENSMUSG00000020248	Nfyb	182	257	184	201	120	248	269	156
ENSMUSG00000032897	Nfyc	56	47	52	48	53	73	57	46
ENSMUSG00000021032	Ngb	1	0	1	0	3	4	2	2
ENSMUSG00000022204	Ngdn	67	75	60	68	56	99	110	78
ENSMUSG00000026259	Ngef	0	0	0	0	2	4	0	0
ENSMUSG00000027859	Ngf	0	0	1	1	1	0	1	1
ENSMUSG00000000120	Ngfr	3	1	0	3	0	0	0	0
ENSMUSG00000046432	Ngfrap1	77	94	58	93	71	101	123	77
ENSMUSG00000021785	Ngly1	513	679	440	405	310	602	599	451
ENSMUSG00000032484	Ngp	0	0	2	0	5	0	2	0
ENSMUSG00000047084	Ngrn	154	251	160	129	115	196	209	149
ENSMUSG00000026162	Nhej1	11	13	6	10	8	13	11	15
ENSMUSG00000051251	Nhlh1	0	1	1	0	0	0	1	0
ENSMUSG00000048540	Nhlh2	0	1	0	0	0	0	0	0
ENSMUSG00000044231	Nhlrc1	21	22	26	9	6	30	15	20
ENSMUSG00000025078	Nhlrc2	187	160	173	196	189	339	270	196
ENSMUSG00000042997	Nhlrc3	35	32	48	71	57	100	85	35
ENSMUSG00000090113	Nhlrc4	4	1	3	5	5	7	4	0
ENSMUSG00000001056	Nhp2	58	56	54	69	87	210	153	95
ENSMUSG00000063480	Nhp2l1	155	218	164	161	138	297	258	174
ENSMUSG00000059493	Nhs	341	233	244	204	81	114	200	128
ENSMUSG00000039835	Nhsl1	105	111	96	53	55	128	143	91
ENSMUSG00000079481	Nhsl2	2137	1697	1626	1168	666	841	1721	1068
ENSMUSG00000032606	Nicn1	160	116	147	244	195	240	322	158
ENSMUSG00000005397	Nid1	2708	2093	2159	1427	957	1454	2314	1491
ENSMUSG00000021806	Nid2	274	231	242	179	52	83	141	75
ENSMUSG00000026036	Nif3l1	67	66	51	53	49	89	89	54
ENSMUSG00000026377	Nifk	192	256	195	166	136	238	235	193
ENSMUSG00000021068	Nin	279	216	228	154	107	204	307	217
ENSMUSG00000037966	Ninj1	9	12	20	46	37	42	34	28
ENSMUSG00000041377	Ninj2	0	0	0	1	0	0	0	0
ENSMUSG00000068115	Ninl	136	170	119	70	51	103	144	84
ENSMUSG00000031917	Nip7	205	293	214	194	169	351	269	232
ENSMUSG00000047037	Nipa1	132	87	124	39	31	66	78	44
ENSMUSG00000030452	Nipa2	457	396	329	464	334	742	700	427
ENSMUSG00000067219	Nipal1	129	86	87	106	92	123	197	91
ENSMUSG00000038879	Nipal2	3	0	0	0	3	0	3	3
ENSMUSG00000028803	Nipal3	10	3	7	5	14	23	16	15
ENSMUSG00000020411	Nipal4	2	1	7	5	7	2	10	2
ENSMUSG00000022141	Nipbl	3818	3133	2659	1564	1267	2016	3314	2298
ENSMUSG00000034285	Nipsnap1	0	0	0	0	0	3	0	0
ENSMUSG00000015242	Nipsnap3a	0	0	1	0	0	0	0	0
ENSMUSG00000015247	Nipsnap3b	103	67	36	54	76	140	131	61
ENSMUSG00000021910	Nisch	1041	964	1033	1040	974	1190	1533	904
ENSMUSG00000013997	Nit1	32	45	38	35	39	64	68	38
ENSMUSG00000022751	Nit2	66	38	53	72	44	87	76	53
ENSMUSG00000078532	Nkain1	27	29	35	16	16	20	27	12
ENSMUSG00000069670	Nkain2	2	6	2	2	0	0	7	1
ENSMUSG00000055761	Nkain3	1	0	0	1	2	0	0	0
ENSMUSG00000027574	Nkain4	1	0	0	2	0	0	0	0
ENSMUSG00000016409	Nkap	247	232	218	230	167	242	372	256
ENSMUSG00000059395	Nkapl	15	5	9	8	4	6	6	4
ENSMUSG00000031661	Nkd1	0	1	0	1	0	0	0	0
ENSMUSG00000021567	Nkd2	4	5	1	2	2	3	3	4
ENSMUSG00000004612	Nkg7	0	0	0	0	0	0	0	0
ENSMUSG00000021772	Nkiras1	361	454	279	200	175	360	379	253
ENSMUSG00000017837	Nkiras2	15	12	20	30	43	55	63	32
ENSMUSG00000060621	Nkpd1	0	0	0	0	2	0	1	0
ENSMUSG00000044149	Nkrf	307	338	290	189	153	271	306	232
ENSMUSG00000032525	Nktr	2887	2794	1988	1199	1186	2141	2780	1985
ENSMUSG00000029112	Nkx1-1	0	0	0	0	0	0	0	0
ENSMUSG00000048528	Nkx1-2	0	0	0	0	0	0	0	0
ENSMUSG00000001496	Nkx2-1	0	0	0	0	0	0	0	0
ENSMUSG00000027434	Nkx2-2	0	0	0	0	0	0	0	0
ENSMUSG00000086509	Nkx2-2os	0	0	0	0	0	0	0	0
ENSMUSG00000044220	Nkx2-3	0	0	0	0	0	0	0	0
ENSMUSG00000054160	Nkx2-4	0	0	0	0	0	0	0	0
ENSMUSG00000015579	Nkx2-5	0	7	6	7	4	5	3	5
ENSMUSG00000044186	Nkx2-6	0	0	0	0	0	0	0	0
ENSMUSG00000058669	Nkx2-9	0	0	0	0	0	0	0	0
ENSMUSG00000022061	Nkx3-1	0	0	3	2	0	0	1	0
ENSMUSG00000049691	Nkx3-2	0	0	0	0	0	0	0	0
ENSMUSG00000035187	Nkx6-1	0	0	0	0	0	0	0	0
ENSMUSG00000041309	Nkx6-2	12	13	9	14	8	13	10	6
ENSMUSG00000063672	Nkx6-3	0	0	0	0	0	0	0	0
ENSMUSG00000020692	Nle1	9	15	7	16	18	17	20	10
ENSMUSG00000063887	Nlgn1	3	0	10	2	1	3	3	1
ENSMUSG00000051790	Nlgn2	145	97	106	150	104	120	173	105
ENSMUSG00000031302	Nlgn3	3	4	10	3	1	3	3	2
ENSMUSG00000017376	Nlk	346	347	390	224	195	387	449	252
ENSMUSG00000021710	Nln	125	104	87	103	81	129	178	113
ENSMUSG00000049871	Nlrc3	6	11	3	18	16	18	17	12
ENSMUSG00000039193	Nlrc4	9	2	5	3	3	4	2	2
ENSMUSG00000074151	Nlrc5	67	69	54	28	19	41	33	36
ENSMUSG00000049709	Nlrp10	0	0	1	4	0	1	1	3
ENSMUSG00000078817	Nlrp12	1	1	0	0	0	0	1	0
ENSMUSG00000016626	Nlrp14	1	0	0	4	1	0	0	0
ENSMUSG00000069830	Nlrp1a	3	0	1	0	0	0	0	0
ENSMUSG00000070390	Nlrp1b	0	0	0	0	0	0	1	0
ENSMUSG00000092528	Nlrp1c-ps	0	0	0	0	0	0	0	0
ENSMUSG00000035177	Nlrp2	1	0	1	1	1	1	1	0
ENSMUSG00000032691	Nlrp3	0	0	0	0	1	0	1	0
ENSMUSG00000040601	Nlrp4a	1	0	0	0	0	0	0	0
ENSMUSG00000034087	Nlrp4b	0	0	1	1	0	1	0	0
ENSMUSG00000034690	Nlrp4c	0	0	0	5	0	0	2	0
ENSMUSG00000045693	Nlrp4e	1	1	0	0	0	0	0	0
ENSMUSG00000032999	Nlrp4f	7	1	0	0	0	0	1	1
ENSMUSG00000015721	Nlrp5	0	0	0	0	0	0	0	0
ENSMUSG00000041596	Nlrp5-ps	1	0	0	0	1	0	0	2
ENSMUSG00000038745	Nlrp6	2	5	1	1	2	0	1	2
ENSMUSG00000054102	Nlrp9a	0	0	1	1	0	0	0	0
ENSMUSG00000060508	Nlrp9b	0	1	0	0	0	1	0	0
ENSMUSG00000040614	Nlrp9c	1	0	0	0	0	0	0	0
ENSMUSG00000032109	Nlrx1	5	2	4	1	2	4	8	4
ENSMUSG00000025723	Nmb	20	21	17	30	13	23	20	14
ENSMUSG00000019865	Nmbr	2	3	0	3	2	0	1	1
ENSMUSG00000027787	Nmd3	515	296	460	319	207	537	441	427
ENSMUSG00000037601	Nme1	108	137	119	186	161	371	266	195
ENSMUSG00000020857	Nme2	430	579	383	256	292	566	475	395
ENSMUSG00000073435	Nme3	33	36	24	62	26	36	68	40
ENSMUSG00000024177	Nme4	10	6	9	22	26	29	31	21
ENSMUSG00000035984	Nme5	2	1	0	1	0	0	2	3
ENSMUSG00000032478	Nme6	25	11	20	15	26	33	36	21
ENSMUSG00000026575	Nme7	67	60	63	62	29	63	69	44
ENSMUSG00000041138	Nme8	0	0	0	2	0	0	0	0
ENSMUSG00000046242	Nme9	0	1	0	1	2	4	7	3
ENSMUSG00000026946	Nmi	110	48	88	56	17	24	34	27
ENSMUSG00000028992	Nmnat1	5	4	10	4	8	13	28	9
ENSMUSG00000042751	Nmnat2	207	204	263	249	218	233	316	201
ENSMUSG00000032456	Nmnat3	78	55	43	28	29	46	77	40
ENSMUSG00000063445	Nmral1	20	12	17	26	21	21	33	33
ENSMUSG00000037847	Nmrk1	60	54	47	39	29	34	76	49
ENSMUSG00000004939	Nmrk2	1	0	0	0	2	0	0	0
ENSMUSG00000067604	Nms	0	0	0	0	0	0	0	0
ENSMUSG00000020936	Nmt1	171	194	156	166	148	298	292	178
ENSMUSG00000026643	Nmt2	526	545	453	399	327	564	573	445
ENSMUSG00000029236	Nmu	1	0	0	0	0	0	0	0
ENSMUSG00000026237	Nmur1	0	0	0	0	0	0	1	0
ENSMUSG00000037393	Nmur2	0	0	0	0	0	1	1	0
ENSMUSG00000067786	Nnat	12	4	5	14	13	21	20	5
ENSMUSG00000032271	Nnmt	23	29	19	38	9	27	42	20
ENSMUSG00000025453	Nnt	404	372	273	227	170	278	386	238
ENSMUSG00000036285	Noa1	288	310	307	206	186	354	337	243
ENSMUSG00000003848	Nob1	60	55	55	73	91	107	159	102
ENSMUSG00000029736	Nobox	2	0	1	0	0	0	0	0
ENSMUSG00000024999	Noc3l	343	331	221	373	287	542	510	311
ENSMUSG00000033294	Noc4l	57	43	51	46	52	91	125	77
ENSMUSG00000038058	Nod1	99	102	103	102	70	61	88	53
ENSMUSG00000055994	Nod2	3	1	0	0	0	6	0	1
ENSMUSG00000037171	Nodal	11	8	6	4	4	4	8	7
ENSMUSG00000048616	Nog	1	1	0	1	0	0	0	2
ENSMUSG00000061458	Nol10	155	163	89	128	101	195	181	126
ENSMUSG00000018433	Nol11	184	178	157	177	136	244	263	181
ENSMUSG00000033099	Nol12	93	76	74	51	53	96	87	73
ENSMUSG00000014776	Nol3	17	3	9	7	11	11	13	14
ENSMUSG00000041923	Nol4	7	3	5	1	1	2	1	1
ENSMUSG00000028430	Nol6	200	178	197	244	298	415	457	288
ENSMUSG00000063200	Nol7	206	194	190	107	147	215	262	212
ENSMUSG00000021392	Nol8	854	830	622	537	359	934	912	692
ENSMUSG00000028948	Nol9	176	141	133	128	110	241	192	159
ENSMUSG00000015176	Nolc1	347	474	384	254	233	482	578	380
ENSMUSG00000001569	Nom1	278	213	137	165	129	270	291	171
ENSMUSG00000030835	Nomo1	168	181	120	170	230	390	374	246
ENSMUSG00000031311	Nono	1959	1500	1559	1422	1176	1955	2522	1802
ENSMUSG00000027133	Nop10	136	183	142	235	208	335	340	216
ENSMUSG00000036693	Nop14	484	510	387	289	307	619	646	461
ENSMUSG00000025869	Nop16	52	53	38	125	80	214	139	87
ENSMUSG00000038279	Nop2	164	97	137	304	253	495	443	239
ENSMUSG00000027405	Nop56	1382	1035	1057	527	641	1088	1442	934
ENSMUSG00000026020	Nop58	492	379	388	224	221	507	521	342
ENSMUSG00000019297	Nop9	132	166	98	113	91	223	198	145
ENSMUSG00000029361	Nos1	0	0	0	0	0	0	0	0
ENSMUSG00000038473	Nos1ap	8	2	0	3	6	3	1	4
ENSMUSG00000020826	Nos2	1	0	0	0	1	1	0	1
ENSMUSG00000028978	Nos3	3	0	1	1	0	0	3	0
ENSMUSG00000003421	Nosip	41	26	33	16	34	38	71	58
ENSMUSG00000034738	Nostrin	7	4	0	2	2	4	5	1
ENSMUSG00000026923	Notch1	19	16	26	37	37	36	74	20
ENSMUSG00000027878	Notch2	1196	1119	1134	960	685	1074	1407	799
ENSMUSG00000038146	Notch3	18	16	15	11	32	31	34	16
ENSMUSG00000015468	Notch4	9	10	10	18	6	9	5	12
ENSMUSG00000068302	Noto	0	1	0	0	0	1	0	0
ENSMUSG00000042988	Notum	2	0	0	0	0	0	2	0
ENSMUSG00000037362	Nov	11	14	8	8	11	13	18	10
ENSMUSG00000021047	Nova1	6	5	0	1	0	3	0	0
ENSMUSG00000030411	Nova2	2	2	3	0	0	2	4	4
ENSMUSG00000031257	Nox1	53	51	24	18	19	38	50	49
ENSMUSG00000023802	Nox3	1	1	0	0	0	0	0	0
ENSMUSG00000030562	Nox4	368	221	340	232	93	159	174	149
ENSMUSG00000036805	Noxa1	0	0	0	0	0	2	0	0
ENSMUSG00000019320	Noxo1	13	18	8	8	3	10	28	5
ENSMUSG00000072919	Noxred1	10	4	12	1	5	13	8	3
ENSMUSG00000001988	Npas1	2	4	2	2	0	1	4	0
ENSMUSG00000026077	Npas2	61	52	46	34	43	51	52	56
ENSMUSG00000021010	Npas3	0	0	3	1	0	3	9	1
ENSMUSG00000045903	Npas4	12	1	1	0	2	1	2	0
ENSMUSG00000033054	Npat	663	493	487	345	249	387	573	337
ENSMUSG00000044034	Npb	0	0	0	0	0	1	1	0
ENSMUSG00000033774	Npbwr1	1	1	0	0	0	0	0	0
ENSMUSG00000024413	Npc1	327	318	303	338	432	736	784	550
ENSMUSG00000020447	Npc1l1	11	8	3	1	2	0	6	1
ENSMUSG00000021242	Npc2	904	817	835	1332	762	995	1300	835
ENSMUSG00000089837	Npcd	189	142	150	192	139	170	314	185
ENSMUSG00000015094	Npdc1	30	27	19	23	50	72	53	39
ENSMUSG00000039263	Npepl1	75	57	53	88	68	135	145	88
ENSMUSG00000001441	Npepps	694	589	617	768	688	789	1236	653
ENSMUSG00000023052	Npff	4	3	9	9	13	0	5	11
ENSMUSG00000020090	Npffr1	0	0	0	0	0	0	0	0
ENSMUSG00000035528	Npffr2	0	0	0	0	0	0	1	0
ENSMUSG00000027378	Nphp1	31	35	21	34	25	38	46	30
ENSMUSG00000032558	Nphp3	171	160	142	127	95	152	210	143
ENSMUSG00000039577	Nphp4	3	5	1	7	1	5	5	8
ENSMUSG00000006649	Nphs1	0	0	0	0	0	0	0	0
ENSMUSG00000087009	Nphs1os	0	0	0	0	0	0	0	0
ENSMUSG00000026602	Nphs2	4	0	0	0	0	3	1	2
ENSMUSG00000042684	Npl	4	0	0	2	6	8	6	4
ENSMUSG00000039703	Nploc4	322	333	317	314	288	530	524	326
ENSMUSG00000057113	Npm1	2473	1974	1813	1138	1227	2206	2911	2081
ENSMUSG00000047911	Npm2	5	7	10	6	7	6	14	9
ENSMUSG00000056209	Npm3	9	8	6	13	13	23	22	8
ENSMUSG00000081669	Npm3-ps1	8	3	9	5	6	14	11	11
ENSMUSG00000040998	Npnt	186	151	137	142	54	77	144	55
ENSMUSG00000041616	Nppa	2	8	1	1	0	0	1	2
ENSMUSG00000029019	Nppb	0	0	0	0	0	0	0	0
ENSMUSG00000026241	Nppc	0	0	0	1	4	0	9	4
ENSMUSG00000027931	Npr1	8	7	14	13	5	9	4	2
ENSMUSG00000028469	Npr2	95	86	84	91	73	60	164	72
ENSMUSG00000022206	Npr3	1227	772	915	806	178	258	576	281
ENSMUSG00000010057	Nprl2	42	54	31	29	35	39	42	28
ENSMUSG00000020289	Nprl3	91	96	80	94	76	94	125	96
ENSMUSG00000073804	Nps	3	0	2	2	0	1	0	0
ENSMUSG00000043659	Npsr1	1	0	0	0	0	0	0	0
ENSMUSG00000032336	Nptn	695	615	499	354	288	499	632	504
ENSMUSG00000025582	Nptx1	4	0	8	2	4	1	17	7
ENSMUSG00000059991	Nptx2	2	0	0	0	0	0	0	0
ENSMUSG00000022421	Nptxr	188	142	149	185	134	166	310	183
ENSMUSG00000029831	Npvf	0	0	0	0	0	0	0	2
ENSMUSG00000071230	Npw	0	0	0	0	0	0	0	0
ENSMUSG00000029819	Npy	0	0	0	0	0	0	0	0
ENSMUSG00000036437	Npy1r	16	31	4	9	10	15	16	4
ENSMUSG00000028004	Npy2r	0	0	0	1	0	0	0	0
ENSMUSG00000048337	Npy4r	0	0	0	1	0	0	1	0
ENSMUSG00000044014	Npy5r	0	3	1	0	0	0	2	1
ENSMUSG00000038071	Npy6r	0	0	0	2	0	0	1	0
ENSMUSG00000003849	Nqo1	33	29	40	29	38	37	50	37
ENSMUSG00000046949	Nqo2	305	250	273	109	53	87	199	103
ENSMUSG00000025056	Nr0b1	1	0	0	0	0	0	0	0
ENSMUSG00000037583	Nr0b2	0	0	0	0	0	0	1	0
ENSMUSG00000020889	Nr1d1	123	122	129	125	102	200	249	137
ENSMUSG00000021775	Nr1d2	257	295	228	309	197	407	325	225
ENSMUSG00000060601	Nr1h2	40	23	30	58	57	80	86	30
ENSMUSG00000002108	Nr1h3	83	80	41	64	56	119	121	69
ENSMUSG00000047638	Nr1h4	1	0	0	1	0	1	1	2
ENSMUSG00000048938	Nr1h5	2	1	0	0	0	1	0	0
ENSMUSG00000022809	Nr1i2	4	6	6	0	4	5	5	3
ENSMUSG00000005677	Nr1i3	3	1	0	2	3	3	2	3
ENSMUSG00000005897	Nr2c1	191	149	122	82	92	151	165	120
ENSMUSG00000005893	Nr2c2	1584	1393	1142	938	753	1261	1513	1087
ENSMUSG00000071078	Nr2c2ap	34	50	29	45	31	79	69	52
ENSMUSG00000019803	Nr2e1	0	0	0	0	0	0	0	1
ENSMUSG00000032292	Nr2e3	1	0	1	0	0	0	0	0
ENSMUSG00000069171	Nr2f1	44	61	45	13	14	47	31	34
ENSMUSG00000030551	Nr2f2	1702	1472	1560	1177	812	1233	1399	925
ENSMUSG00000002393	Nr2f6	36	53	54	34	29	48	55	37
ENSMUSG00000024431	Nr3c1	690	602	533	612	431	486	806	461
ENSMUSG00000031618	Nr3c2	22	16	17	16	8	13	18	17
ENSMUSG00000023034	Nr4a1	60	78	43	84	68	101	115	63
ENSMUSG00000026826	Nr4a2	146	131	148	65	69	172	182	139
ENSMUSG00000028341	Nr4a3	3	1	4	6	4	8	1	2
ENSMUSG00000026751	Nr5a1	0	0	0	0	2	2	1	0
ENSMUSG00000026398	Nr5a2	0	0	0	0	0	0	0	0
ENSMUSG00000063972	Nr6a1	65	43	39	41	33	87	79	59
ENSMUSG00000032491	Nradd	10	21	13	17	14	13	21	13
ENSMUSG00000049134	Nrap	0	0	0	0	1	0	1	0
ENSMUSG00000078202	Nrarp	0	0	0	0	2	1	0	0
ENSMUSG00000027852	Nras	897	1069	810	667	629	1088	1078	717
ENSMUSG00000075000	Nrbf2	81	80	58	51	55	85	107	74
ENSMUSG00000029148	Nrbp1	173	146	179	259	247	406	368	255
ENSMUSG00000075590	Nrbp2	557	568	647	266	246	341	597	398
ENSMUSG00000020598	Nrcam	40	42	25	22	84	148	102	80
ENSMUSG00000053510	Nrd1	1479	1419	1116	815	887	1700	1832	1312
ENSMUSG00000021179	Nrde2	18	29	12	12	19	26	23	21
ENSMUSG00000042834	Nrep	12	14	11	12	19	15	31	15
ENSMUSG00000058440	Nrf1	134	172	176	110	129	318	223	155
ENSMUSG00000062991	Nrg1	207	165	131	79	56	132	114	78
ENSMUSG00000060275	Nrg2	2	1	1	3	1	6	2	3
ENSMUSG00000041014	Nrg3	0	0	0	0	0	0	0	0
ENSMUSG00000093528	Nrg3os	0	1	0	0	0	1	0	0
ENSMUSG00000032311	Nrg4	50	49	21	42	80	173	183	116
ENSMUSG00000053310	Nrgn	0	0	0	0	0	0	0	1
ENSMUSG00000048490	Nrip1	786	650	611	473	374	543	827	603
ENSMUSG00000001520	Nrip2	12	22	12	8	36	60	58	28
ENSMUSG00000034825	Nrip3	46	37	31	34	19	27	44	34
ENSMUSG00000052854	Nrk	2	2	7	3	0	0	2	0
ENSMUSG00000040632	Nrl	0	0	3	0	0	0	0	1
ENSMUSG00000059791	Nrm	25	12	26	22	31	32	37	37
ENSMUSG00000039114	Nrn1	140	109	103	209	146	137	198	109
ENSMUSG00000044287	Nrn1l	1	0	3	1	0	2	0	2
ENSMUSG00000086484	Nron	7	17	2	3	7	9	13	8
ENSMUSG00000025810	Nrp1	3422	2695	2427	2733	1175	1715	2475	1761
ENSMUSG00000025969	Nrp2	1080	1087	946	987	980	1592	1728	976
ENSMUSG00000052384	Nrros	0	0	3	0	0	0	0	0
ENSMUSG00000048978	Nrsn1	0	0	0	0	0	0	0	0
ENSMUSG00000059361	Nrsn2	1	0	2	1	3	1	1	2
ENSMUSG00000039481	Nrtn	0	0	0	0	0	0	0	0
ENSMUSG00000024109	Nrxn1	16	20	3	3	13	25	27	34
ENSMUSG00000033768	Nrxn2	0	0	0	0	0	0	2	3
ENSMUSG00000066392	Nrxn3	3	1	0	0	1	0	2	0
ENSMUSG00000060739	Nsa2	406	332	285	186	175	299	423	295
ENSMUSG00000021488	Nsd1	2136	1828	1546	1431	1075	1663	2471	1596
ENSMUSG00000031349	Nsdhl	269	234	249	258	207	282	434	274
ENSMUSG00000034187	Nsf	310	270	223	153	179	252	396	283
ENSMUSG00000027455	Nsfl1c	168	143	120	221	194	360	496	256
ENSMUSG00000029126	Nsg1	122	156	155	142	66	128	174	86
ENSMUSG00000020297	Nsg2	0	0	0	0	0	0	0	0
ENSMUSG00000062510	Nsl1	1	6	7	6	3	2	10	5
ENSMUSG00000028245	Nsmaf	242	294	172	166	113	240	270	156
ENSMUSG00000030750	Nsmce1	44	81	58	60	44	77	95	63
ENSMUSG00000059586	Nsmce2	187	170	172	150	149	242	273	166
ENSMUSG00000040331	Nsmce4a	105	113	84	59	31	54	75	59
ENSMUSG00000006476	Nsmf	43	22	38	73	56	85	103	66
ENSMUSG00000021595	Nsun2	283	335	259	251	236	414	415	301
ENSMUSG00000050312	Nsun3	47	59	41	36	33	43	96	64
