id	sym	WT_1	WT_2	WT_3	Cbfb_MYH11_1	Cbfb_MYH11_2	Cbfb_MYH11_3
ENSMUSG00000058297	Spock2	15	10	8	12	7	7
ENSMUSG00000058298	Mcm9	827	767	671	951	1066	935
ENSMUSG00000058301	Upf1	3907	4477	3376	5028	5434	5319
ENSMUSG00000058317	Ube2e2	42	28	32	48	38	44
ENSMUSG00000058318	Phf21a	1137	1229	1148	1592	1814	1663
ENSMUSG00000058325	Dock1	1260	1227	1082	913	1039	1010
ENSMUSG00000058331	Zfp85	194	154	186	207	238	251
ENSMUSG00000058351	Smim4	590	540	503	445	474	464
ENSMUSG00000058355	Abce1	8051	7856	6651	8824	9084	8738
ENSMUSG00000058360	Gm10040	15	14	14	15	22	17
ENSMUSG00000058385	Hist1h2bg	20	44	53	26	24	19
ENSMUSG00000058388	Phtf1	1236	1227	1002	1339	1377	1253
ENSMUSG00000058392	Rrp1b	1956	1880	1668	1708	1994	1757
ENSMUSG00000058396	Gpr182	5	2	6	2	0	4
ENSMUSG00000058400	Qrfpr	1	1	1	0	0	0
ENSMUSG00000058402	Zfp420	86	89	65	75	81	95
ENSMUSG00000058407	Txndc9	3172	3146	2520	2890	3065	2824
ENSMUSG00000058427	Cxcl2	8	74	146	3	8	2
ENSMUSG00000058435	Btnl4	1	4	3	24	26	36
ENSMUSG00000058440	Nrf1	2476	2610	2027	2463	2632	2531
ENSMUSG00000058441	Panx2	7	1	5	2	3	4
ENSMUSG00000058443	Rpl10-ps3	29	44	20	61	40	56
ENSMUSG00000058444	Map2k5	1039	1017	906	1125	1214	1261
ENSMUSG00000058446	Znrf2	3810	3514	3115	5353	5219	5378
ENSMUSG00000058454	Dhcr7	875	794	704	1465	1319	1293
ENSMUSG00000058470	Gm8369	32	30	31	61	105	72
ENSMUSG00000058486	Wdr91	789	756	610	1319	1366	1588
ENSMUSG00000058488	Kl	0	0	0	0	0	1
ENSMUSG00000058492	Scp2-ps2	6	2	5	4	3	4
ENSMUSG00000058498	Rnf207	0	0	0	0	1	0
ENSMUSG00000058503	Fam133b	1427	1447	1128	1339	1486	1430
ENSMUSG00000058542	Gm15590	2	0	3	0	1	2
ENSMUSG00000058546	Rpl23a	41977	36272	30692	41512	38186	40611
ENSMUSG00000058558	Rpl5	51670	43861	38662	55186	51085	55024
ENSMUSG00000058567	Gm2531	0	1	1	0	0	0
ENSMUSG00000058569	Tmed9	5685	5592	4745	6338	6525	6454
ENSMUSG00000058571	Gpc6	2	0	0	0	1	2
ENSMUSG00000058581	Gm5801	0	0	0	1	1	0
ENSMUSG00000058586	Serhl	790	695	635	862	1006	870
ENSMUSG00000058587	Tmod3	4667	5615	4652	5923	5865	5468
ENSMUSG00000058589	Anks1b	0	0	0	0	1	0
ENSMUSG00000058594	Fbxo18	3712	4181	3392	3325	3752	3397
ENSMUSG00000058600	Rpl30	17547	15338	13475	16997	16068	16484
ENSMUSG00000058603	Rpl28-ps1	81	65	68	143	124	152
ENSMUSG00000058620	Adra2b	0	0	1	1	0	0
ENSMUSG00000058624	Gda	16779	20275	16912	15956	19431	14519
ENSMUSG00000058625	Gm17383	14	20	17	12	20	14
ENSMUSG00000058626	Capn11	3	83	23	70	36	2
ENSMUSG00000058638	Zfp110	1768	1717	1390	2347	2265	2416
ENSMUSG00000058655	Eif4b	22225	19973	16756	24353	24332	24439
ENSMUSG00000058656	Samd12	2	0	4	3	5	3
ENSMUSG00000058672	Tubb2a	541	463	380	1256	992	1187
ENSMUSG00000058690	Ccser2	563	640	545	884	962	1006
ENSMUSG00000058704	Memo1	3112	2789	2371	3577	3441	3217
ENSMUSG00000058706	0610030E20Rik	4583	5153	4035	3074	3619	2914
ENSMUSG00000058709	Egln2	1600	1715	1301	1488	1625	1557
ENSMUSG00000058715	Fcer1g	10618	13887	11249	9066	9576	7684
ENSMUSG00000058728	Cd300c	23	3	11	45	76	62
ENSMUSG00000058729	Lin9	1420	1314	1060	1254	1393	1289
ENSMUSG00000058740	Kcnt1	1	0	0	1	2	5
ENSMUSG00000058741	Prr19	0	0	0	1	0	3
ENSMUSG00000058743	Kcnj14	3	2	3	2	3	3
ENSMUSG00000058748	Zfp958	387	349	304	527	517	510
ENSMUSG00000058755	Osm	719	1357	1073	921	931	1033
ENSMUSG00000058756	Thra	1705	1815	1393	1857	2010	2003
ENSMUSG00000058761	Rnf169	1793	1952	1497	1869	2402	2080
ENSMUSG00000058773	Hist1h1b	34	53	51	36	43	27
ENSMUSG00000058793	Cds2	5775	7212	5707	6601	7421	6542
ENSMUSG00000058794	Nfe2	7607	8822	7400	6208	6228	6124
ENSMUSG00000058799	Nap1l1	22183	20203	17157	21626	22195	22183
ENSMUSG00000058806	Col13a1	0	2	2	0	2	0
ENSMUSG00000058809	Hspd1-ps3	23	24	20	11	14	16
ENSMUSG00000058812	0610039K10Rik	3	7	5	5	0	5
ENSMUSG00000058818	Pirb	4053	6396	5167	5338	6725	4502
ENSMUSG00000058831	Opn1sw	0	0	0	0	1	0
ENSMUSG00000058833	2810428I15Rik	578	506	363	571	483	612
ENSMUSG00000058835	Abi1	5826	6347	5309	5559	5731	5458
ENSMUSG00000058838	Rps27a-ps2	10	10	7	15	15	4
ENSMUSG00000058881	Zfp516	2034	2218	1778	1573	2300	1537
ENSMUSG00000058886	Deaf1	971	940	672	849	942	786
ENSMUSG00000058897	Col25a1	0	2	0	3	1	2
ENSMUSG00000058900	Rsl1	134	142	125	245	239	277
ENSMUSG00000058905	Gm10051	4	3	1	2	2	8
ENSMUSG00000058921	Slc10a5	0	2	0	0	0	0
ENSMUSG00000058922	Gm10052	94	87	76	111	143	144
ENSMUSG00000058925	1700011I03Rik	1	0	2	0	0	0
ENSMUSG00000058927	Gm10053	1	0	0	1	0	1
ENSMUSG00000058934	Igf1os	0	1	0	1	2	1
ENSMUSG00000058952	Cfi	2	0	0	0	0	0
ENSMUSG00000058966	Fam57b	6	6	7	10	15	16
ENSMUSG00000058975	Kcnc1	10	6	3	1	0	0
ENSMUSG00000058979	Cecr5	381	379	273	261	337	279
ENSMUSG00000058997	Vwa8	1370	1256	1139	1660	1574	1692
ENSMUSG00000059005	Hnrnpa3	48283	45047	38447	44752	49410	45045
ENSMUSG00000059013	Sh2d3c	2880	3544	2527	1173	1748	1104
ENSMUSG00000059022	Kcp	0	3	2	0	2	0
ENSMUSG00000059027	9630013D21Rik	10	9	10	65	94	77
ENSMUSG00000059040	Eno1b	12	20	17	18	20	21
ENSMUSG00000059042	Klk1b9	1	0	0	0	0	1
ENSMUSG00000059049	Frem1	1	0	0	1	3	1
ENSMUSG00000059058	Tma7-ps	7	0	0	0	0	5
ENSMUSG00000059060	Rad51b	172	130	110	100	128	107
ENSMUSG00000059070	Rpl18	24580	23170	18226	27400	24858	26440
ENSMUSG00000059089	Fcgr4	1376	2375	2131	2027	2061	1872
ENSMUSG00000059101	Olfr157	0	1	0	0	0	0
ENSMUSG00000059108	Ifitm6	21649	29812	23966	3222	7354	1843
ENSMUSG00000059119	Nap1l4	7191	7063	5653	6623	6802	6658
ENSMUSG00000059142	Zfp945	172	143	124	454	610	518
ENSMUSG00000059146	Ntrk3	3	2	2	0	4	2
ENSMUSG00000059149	Mfsd4a	18	23	14	283	272	169
ENSMUSG00000059159	Gm8129	2	3	4	4	4	5
ENSMUSG00000059173	Pde1a	0	1	0	1	0	0
ENSMUSG00000059179	Gm8991	1	1	0	0	2	0
ENSMUSG00000059182	Skap2	6179	7376	6232	5257	6471	5337
ENSMUSG00000059183	Mtfmt	374	342	256	500	568	565
ENSMUSG00000059195	Gm12715	31	37	29	23	29	32
ENSMUSG00000059208	Hnrnpm	14578	14579	11655	14592	14591	14800
ENSMUSG00000059213	Ddn	1	1	1	5	5	7
ENSMUSG00000059237	Ppp1r2-ps4	5	12	12	9	13	9
ENSMUSG00000059244	Gm10062	2	3	1	1	2	1
ENSMUSG00000059248	Sept9	9814	10782	8586	11903	12648	12662
ENSMUSG00000059263	Usp47	6181	6086	5228	5342	6243	5445
ENSMUSG00000059273	Zc3h4	5162	5258	4154	5769	6115	6106
ENSMUSG00000059277	R74862	99	98	74	10	10	2
ENSMUSG00000059278	Naa38	875	858	729	1043	1010	1113
ENSMUSG00000059279	Olfr224	0	0	0	1	0	0
ENSMUSG00000059280	Vpreb2	66	42	45	80	101	66
ENSMUSG00000059288	Cdyl	1254	1269	1003	1475	1464	1504
ENSMUSG00000059291	Rpl11	26532	22856	19526	26963	25185	26349
ENSMUSG00000059305	Vpreb1	510	393	319	309	533	341
ENSMUSG00000059316	Slc27a4	5067	6485	5029	1436	2206	1211
ENSMUSG00000059323	Tonsl	4844	5009	3989	4649	4917	4629
ENSMUSG00000059325	Hopx	165	239	199	695	859	670
ENSMUSG00000059326	Csf2ra	3219	3741	3179	2879	3463	2819
ENSMUSG00000059327	Eda	70	60	50	28	33	41
ENSMUSG00000059334	Zfp36l3	0	0	0	0	2	1
ENSMUSG00000059336	Slc14a1	2524	2316	1849	2744	2223	2330
ENSMUSG00000059355	Wdr83os	1970	1761	1511	1675	1642	1617
ENSMUSG00000059361	Nrsn2	0	0	0	1	0	1
ENSMUSG00000059363	Fxn	742	765	624	660	673	621
ENSMUSG00000059395	Nkapl	3	2	3	9	8	10
ENSMUSG00000059401	Mamld1	0	1	1	17	11	15
ENSMUSG00000059406	Tmprss9	1	1	2	1	5	5
ENSMUSG00000059409	Ppp2r5d	3481	3561	2813	3959	4014	3956
ENSMUSG00000059412	Fxyd2	0	4	2	3	1	1
ENSMUSG00000059422	Gm8116	44	29	26	44	55	43
ENSMUSG00000059423	Zfp933	341	309	277	405	480	400
ENSMUSG00000059434	Gckr	0	0	1	0	1	0
ENSMUSG00000059436	Max	6734	7441	6064	4645	5434	4438
ENSMUSG00000059439	Bcas3	995	925	786	1202	1112	1322
ENSMUSG00000059447	Hadhb	4362	4054	3340	5286	5287	5094
ENSMUSG00000059455	Plac8l1	0	0	0	1	0	0
ENSMUSG00000059456	Ptk2b	6539	7670	6337	6994	7476	7122
ENSMUSG00000059460	Olfr286	1	0	0	0	0	0
ENSMUSG00000059461	Gm7331	16	33	18	18	32	43
ENSMUSG00000059463	Spag11b	1	2	0	0	0	0
ENSMUSG00000059473	Olfr979	0	0	0	0	1	0
ENSMUSG00000059474	Mbtd1	2390	1919	1712	3741	4083	4011
ENSMUSG00000059475	Zfp426	1090	1229	976	1119	1227	1131
ENSMUSG00000059479	B3gnt8	564	546	447	815	807	790
ENSMUSG00000059481	Plg	6	7	5	0	3	4
ENSMUSG00000059482	2610301B20Rik	540	513	416	417	496	530
ENSMUSG00000059486	Kbtbd2	1638	1617	1287	1639	1845	1685
ENSMUSG00000059493	Nhs	1	1	2	4	17	12
ENSMUSG00000059495	Arhgef12	1036	947	765	4119	3853	3594
ENSMUSG00000059498	Fcgr3	10086	10609	10062	11405	10946	9588
ENSMUSG00000059503	Olfr248	2	3	3	0	0	2
ENSMUSG00000059518	Znhit1	1552	1857	1444	1255	1387	1149
ENSMUSG00000059534	Uqcr10	2485	2393	1978	2224	2070	2137
ENSMUSG00000059540	Tcea2	78	98	79	106	133	96
ENSMUSG00000059552	Trp53	5859	5735	4315	6970	7024	7307
ENSMUSG00000059554	Ccdc28a	192	163	143	221	215	217
ENSMUSG00000059555	Tor4a	3150	3824	2982	2562	2703	2488
ENSMUSG00000059562	Ccdc154	0	1	1	17	16	9
ENSMUSG00000059586	Nsmce2	1519	1469	1316	1312	1460	1276
ENSMUSG00000059588	Calcrl	1456	1453	1270	653	810	784
ENSMUSG00000059602	Syn3	3	2	4	4	5	7
ENSMUSG00000059606	Rnase2b	3	1	0	24	39	14
ENSMUSG00000059631	1500035N22Rik	1	0	0	1	0	1
ENSMUSG00000059639	Clec4a4	3	4	4	20	29	30
ENSMUSG00000059647	Cbx3-ps7	0	1	1	0	1	0
ENSMUSG00000059648	Rnase11	2	0	0	4	4	6
ENSMUSG00000059657	Stfa2l1	473	662	521	185	602	100
ENSMUSG00000059659	Gm10069	0	4	6	0	4	5
ENSMUSG00000059668	Krt4	0	0	0	0	0	1
ENSMUSG00000059669	Taf1b	1211	1183	1043	1646	1579	1592
ENSMUSG00000059674	Cdh24	86	72	65	60	132	70
ENSMUSG00000059689	Zfp637	591	595	454	826	748	792
ENSMUSG00000059708	Akap17b	149	120	105	375	327	321
ENSMUSG00000059713	Rcan3	655	538	448	1665	1524	1692
ENSMUSG00000059714	Flot1	4483	5548	4326	3400	3808	3062
ENSMUSG00000059734	Ndufs8	2631	2354	1970	2786	2683	2707
ENSMUSG00000059742	Kcnh7	2	3	4	0	0	0
ENSMUSG00000059743	Fdps	154	127	136	113	155	75
ENSMUSG00000059751	Rps3a3	4	5	7	7	2	4
ENSMUSG00000059772	Slx1b	379	359	257	394	480	453
ENSMUSG00000059775	Rps26-ps1	5	1	0	6	7	13
ENSMUSG00000059776	Rpl13-ps6	2	3	0	0	0	1
ENSMUSG00000059791	Nrm	2415	2294	1926	2913	2859	2780
ENSMUSG00000059796	Eif4a1	35812	36387	29772	37740	40011	37199
ENSMUSG00000059810	Rgs3	799	1134	875	656	753	553
ENSMUSG00000059811	Atl2	2592	2725	2119	2959	2999	2913
ENSMUSG00000059816	Fam159a	0	0	0	0	1	1
ENSMUSG00000059820	AU019823	1277	1214	1029	1885	1821	2029
ENSMUSG00000059824	Dbp	139	123	95	232	162	210
ENSMUSG00000059834	Sclt1	712	628	627	546	682	557
ENSMUSG00000059835	Rpl13-ps3	0	0	1	0	0	0
ENSMUSG00000059839	Zfp874b	268	270	197	625	558	735
ENSMUSG00000059842	Zfp341	251	309	244	249	236	232
ENSMUSG00000059851	Suv420h2	2883	2888	2117	2237	2771	2464
ENSMUSG00000059852	Kcng2	59	78	47	38	29	39
ENSMUSG00000059857	Ntng1	0	0	1	0	0	0
ENSMUSG00000059864	Olfr1393	1	0	0	2	0	0
ENSMUSG00000059866	Tnip2	203	221	210	481	618	548
ENSMUSG00000059873	Olfr1029	0	0	0	1	0	0
ENSMUSG00000059878	Zfp422	3010	2501	2256	1990	2217	2089
ENSMUSG00000059883	Irak4	1552	1810	1402	2313	2317	2214
ENSMUSG00000059890	Ube4a	3659	3895	3196	4818	5059	4895
ENSMUSG00000059891	Tsks	3	1	2	1	6	6
ENSMUSG00000059895	Ptp4a3	2141	2039	1628	6133	5188	7087
ENSMUSG00000059897	Zfp930	347	373	292	429	483	455
ENSMUSG00000059900	Tmem40	1988	2289	1824	1524	1520	1759
ENSMUSG00000059901	Adamts14	26	33	23	6	15	8
ENSMUSG00000059908	Mug1	0	0	0	4	2	2
ENSMUSG00000059912	Rpl21-ps6	0	0	0	0	1	1
ENSMUSG00000059920	4930453N24Rik	1508	1463	1185	1420	1570	1406
ENSMUSG00000059921	Unc5c	2	1	14	2	0	0
ENSMUSG00000059923	Grb2	8798	9677	7913	13023	12440	13135
ENSMUSG00000059939	9430015G10Rik	905	1033	772	830	1186	895
ENSMUSG00000059956	Serpinb12	2	0	2	1	0	1
ENSMUSG00000059970	Hspa2	329	287	237	264	262	280
ENSMUSG00000059975	Zfp74	319	275	210	388	385	398
ENSMUSG00000059981	Taok2	3289	3823	3014	4031	4685	4157
ENSMUSG00000059991	Nptx2	0	1	1	0	0	0
ENSMUSG00000059994	Fcrl1	151	190	134	116	121	63
ENSMUSG00000059995	Atxn7l3	4168	4683	3654	4087	4423	4006
ENSMUSG00000060002	Chpt1	849	1021	886	1160	1435	1238
ENSMUSG00000060012	Kif13b	1070	1278	1006	1016	1381	1049
ENSMUSG00000060019	Gm10073	35	30	11	46	25	38
ENSMUSG00000060029	4930473A02Rik	3	2	1	1	2	5
ENSMUSG00000060032	H2afj	987	872	611	1202	1053	1336
ENSMUSG00000060036	Rpl3	59545	51696	43971	66639	64118	66396
ENSMUSG00000060038	Dhps	769	837	675	723	807	758
ENSMUSG00000060044	Tmem26	176	205	194	880	508	735
ENSMUSG00000060063	Alox5ap	14909	19842	15526	13327	13521	11902
ENSMUSG00000060073	Psma3	5874	5806	4865	5971	6590	6038
ENSMUSG00000060090	Rp2	4366	4822	4074	4327	5057	4325
ENSMUSG00000060093	Hist1h4a	0	1	2	0	1	7
ENSMUSG00000060096	Amd-ps3	203	178	8	194	188	24
ENSMUSG00000060098	Prmt7	1598	1615	1229	1484	1488	1578
ENSMUSG00000060121	Gemin2	662	657	567	661	720	638
ENSMUSG00000060126	Tpt1	68248	61187	55010	79345	74686	79149
ENSMUSG00000060131	Atp8b4	13902	13688	12743	6165	9585	5912
ENSMUSG00000060143	Gm10076	42	24	20	29	26	25
ENSMUSG00000060147	Serpinb6a	1806	1928	1490	984	824	776
ENSMUSG00000060149	BC002059	368	397	341	401	423	370
ENSMUSG00000060152	Pop5	629	676	526	795	663	721
ENSMUSG00000060166	Zdhhc8	373	428	306	490	510	547
ENSMUSG00000060176	Kif27	10	2	3	4	3	0
ENSMUSG00000060180	Myh13	1	0	0	0	1	0
ENSMUSG00000060181	Slc35e3	463	440	370	624	705	695
ENSMUSG00000060183	Cxcl11	2	0	1	0	0	1
ENSMUSG00000060187	Lrrc10	1	0	1	1	0	0
ENSMUSG00000060188	Cxcl17	0	0	0	0	0	1
ENSMUSG00000060198	Gm11353	2	2	1	2	1	1
ENSMUSG00000060206	Zfp462	21	13	11	42	56	60
ENSMUSG00000060212	Pcnx2	4	2	0	15	14	23
ENSMUSG00000060216	Arrb2	14138	16979	14483	4859	6667	4657
ENSMUSG00000060224	Pyroxd2	141	132	147	146	243	171
ENSMUSG00000060227	Casc4	366	332	284	532	552	562
ENSMUSG00000060244	Alyref2	131	130	117	203	207	242
ENSMUSG00000060260	Pwwp2b	302	292	241	285	350	373
ENSMUSG00000060261	Gtf2i	5862	5702	4800	5988	6085	6494
ENSMUSG00000060268	Gm1661	0	1	0	1	0	0
ENSMUSG00000060275	Nrg2	371	309	332	478	628	523
ENSMUSG00000060279	Ap2a1	4852	5084	3768	9164	8705	9544
ENSMUSG00000060284	Sp7	3	1	0	0	1	0
ENSMUSG00000060288	Ppih	2236	2188	1795	1739	1937	1647
ENSMUSG00000060301	2610008E11Rik	288	238	173	279	357	345
ENSMUSG00000060314	Zfp941	24	15	18	9	22	11
ENSMUSG00000060336	Zfp937	33	32	26	76	94	86
ENSMUSG00000060371	Caln1	0	0	0	0	1	0
ENSMUSG00000060373	Hnrnpc	15025	16214	12659	14588	15127	14244
ENSMUSG00000060376	Bckdha	1883	1595	1404	1827	1897	1952
ENSMUSG00000060377	Rpl36a-ps1	2	0	2	1	0	2
ENSMUSG00000060380	C030014I23Rik	1	0	0	2	5	4
ENSMUSG00000060397	Zfp128	219	206	169	201	253	223
ENSMUSG00000060419	Rps16-ps2	63	65	43	77	54	81
ENSMUSG00000060427	Zfp868	763	672	579	721	833	820
ENSMUSG00000060429	Sntb1	187	181	174	289	477	369
ENSMUSG00000060438	Rps10-ps1	2	1	1	0	1	1
ENSMUSG00000060441	Trim5	335	408	317	427	641	556
ENSMUSG00000060445	Sycp2	34	42	52	3	28	5
ENSMUSG00000060450	Rnf14	3361	3285	2929	2790	3290	3044
ENSMUSG00000060459	Kng2	1	2	0	3	2	1
ENSMUSG00000060467	Gm10080	1	2	2	4	1	2
ENSMUSG00000060470	Adgrg3	7056	8092	6873	1733	3091	1596
ENSMUSG00000060475	Wtap	4925	4995	4340	5800	5823	5760
ENSMUSG00000060477	Irak2	983	1226	987	1101	1150	1020
ENSMUSG00000060487	Samd5	3	2	6	4	6	5
ENSMUSG00000060509	Xcr1	56	68	56	15	64	20
ENSMUSG00000060510	Zfp266	1012	882	746	1466	1627	1477
ENSMUSG00000060512	0610040J01Rik	161	158	131	290	265	318
ENSMUSG00000060519	Tor3a	999	1031	827	2050	1975	1964
ENSMUSG00000060538	Tmem219	852	866	778	846	868	814
ENSMUSG00000060548	Tnfrsf19	138	120	87	229	442	377
ENSMUSG00000060550	H2-Q7	1193	3258	1497	2831	6942	3444
ENSMUSG00000060568	Fam78b	10	14	9	96	62	51
ENSMUSG00000060572	Mfap2	2	0	0	0	1	0
ENSMUSG00000060579	Fhit	37	41	41	77	64	65
ENSMUSG00000060586	H2-Eb1	1946	3744	2620	14655	13488	13454
ENSMUSG00000060591	Ifitm2	1970	2114	1680	1902	1982	1762
ENSMUSG00000060594	Layn	114	86	67	142	189	136
ENSMUSG00000060600	Eno3	200	327	272	226	236	232
ENSMUSG00000060601	Nr1h2	2621	2906	2238	2811	3016	2705
ENSMUSG00000060621	Nkpd1	3	0	1	4	0	3
ENSMUSG00000060636	Rpl35a	19595	17355	15073	18461	17549	17737
ENSMUSG00000060639	Hist1h4i	295	292	258	273	252	262
ENSMUSG00000060657	Marf1	3151	3444	2440	4466	5284	4808
ENSMUSG00000060671	Atp8b2	465	443	381	1168	1316	1343
ENSMUSG00000060675	Pla2g16	831	800	593	529	841	615
ENSMUSG00000060678	Hist1h4c	8	12	10	8	9	12
ENSMUSG00000060679	Mrps9	1654	1443	1153	1614	1700	1610
ENSMUSG00000060680	Gm8894	2	0	0	0	0	0
ENSMUSG00000060681	Slc9a6	935	944	845	1334	1215	1301
ENSMUSG00000060703	Cd302	121	139	102	854	856	896
ENSMUSG00000060708	Bloc1s4	281	248	208	240	240	249
ENSMUSG00000060715	1700019A02Rik	1	1	3	2	4	0
ENSMUSG00000060716	Plekhh1	7	10	7	20	29	24
ENSMUSG00000060726	Tmsb15a	1	0	0	0	0	0
ENSMUSG00000060727	Gm12571	0	0	0	0	0	1
ENSMUSG00000060730	Gm10086	0	0	1	1	1	0
ENSMUSG00000060733	Ipmk	3567	3661	2811	3092	3384	2881
ENSMUSG00000060739	Nsa2	7031	6152	5253	8336	8021	8047
ENSMUSG00000060743	H3f3a	49141	49098	40732	39566	39412	39164
ENSMUSG00000060771	Tsga10	244	259	212	329	332	305
ENSMUSG00000060791	Gmfg	9454	10316	8808	5971	6948	5575
ENSMUSG00000060798	Intu	197	207	147	246	287	265
ENSMUSG00000060802	B2m	47425	65985	48035	59180	72519	58791
ENSMUSG00000060803	Gstp1	2042	2006	1517	2093	2127	1932
ENSMUSG00000060843	Ctnna3	1	0	0	6	0	6
ENSMUSG00000060860	Ube2s	7808	8359	6127	5351	5776	5410
ENSMUSG00000060862	Zbtb40	586	684	588	857	974	999
ENSMUSG00000060863	Tcl1b2	0	0	0	1	0	0
ENSMUSG00000060904	Arl1	3700	3502	3235	5134	5116	5152
ENSMUSG00000060913	Trim55	1	0	2	17	22	16
ENSMUSG00000060923	Acyp2	70	45	36	29	27	40
ENSMUSG00000060924	Csmd1	3	2	2	0	1	1
ENSMUSG00000060935	Tmem263	922	882	653	603	768	656
ENSMUSG00000060938	Rpl26	30721	25404	21268	31427	29201	30321
ENSMUSG00000060950	Trmt61a	468	505	380	444	429	456
ENSMUSG00000060961	Slc4a4	1	1	0	2	2	6
ENSMUSG00000060962	Dmkn	861	582	537	540	855	519
ENSMUSG00000060981	Hist1h4h	5	8	4	6	10	5
ENSMUSG00000060985	Tdrd5	1	0	0	3	3	4
ENSMUSG00000060989	Gm11847	21	33	16	26	18	16
ENSMUSG00000060992	Copz1	8222	8721	7073	8644	8798	8338
ENSMUSG00000061013	Mkx	0	1	6	15	21	11
ENSMUSG00000061024	Rrs1	1646	1591	1255	1348	1421	1392
ENSMUSG00000061028	Clasrp	754	913	679	749	1071	941
ENSMUSG00000061032	Rrp1	5799	5546	4491	6165	6188	6187
ENSMUSG00000061039	Olfr920	2	3	0	13	8	18
ENSMUSG00000061046	Haghl	383	266	272	333	436	354
ENSMUSG00000061048	Cdh3	0	0	1	0	0	1
ENSMUSG00000061062	Gm10093	23	20	24	31	31	47
ENSMUSG00000061068	Mcpt4	0	0	0	31	9	26
ENSMUSG00000061079	Zfp143	1555	1826	1466	1372	1523	1440
ENSMUSG00000061080	Lsamp	0	0	0	5	4	5
ENSMUSG00000061082	Plac1	0	0	0	0	2	2
ENSMUSG00000061086	Myl4	171	145	101	32	32	35
ENSMUSG00000061099	Gapdhs	1	0	1	0	2	0
ENSMUSG00000061100	Retnla	40	2	8	17662	7164	21284
ENSMUSG00000061104	Gm10094	24	30	28	34	41	29
ENSMUSG00000061111	Fam195b	1743	1857	1507	2097	1864	2079
ENSMUSG00000061118	Dnajc30	565	635	477	507	433	501
ENSMUSG00000061119	Prcp	2711	2802	2273	6591	6009	6168
ENSMUSG00000061126	Cyp4f39	23	22	13	9	5	3
ENSMUSG00000061130	Ppm1b	3713	3634	2937	3244	3404	3209
ENSMUSG00000061132	Blnk	676	629	462	4410	4199	6224
ENSMUSG00000061136	Prpf40a	8115	7677	6335	8720	9546	8708
ENSMUSG00000061143	Maml3	391	248	270	743	740	872
ENSMUSG00000061167	Rpl15-ps3	35	34	27	50	29	56
ENSMUSG00000061171	Slc38a11	0	0	0	1	0	1
ENSMUSG00000061175	Fnip2	1072	1063	935	3847	3705	4662
ENSMUSG00000061186	Sfmbt2	73	73	87	65	98	75
ENSMUSG00000061207	Stk19	516	477	445	841	884	882
ENSMUSG00000061232	H2-K1	16071	25592	16362	27142	37768	28878
ENSMUSG00000061242	Gm9104	1	2	2	6	5	6
ENSMUSG00000061244	Exoc5	3346	3347	2869	3016	3198	2892
ENSMUSG00000061273	Mmgt1	2119	1981	1707	2232	2362	2227
ENSMUSG00000061286	Exosc5	1669	1534	1288	1585	1640	1688
ENSMUSG00000061288	Taok3	4899	4997	4268	10489	9592	11075
ENSMUSG00000061306	Slc38a10	5523	5664	4669	6794	6436	6459
ENSMUSG00000061311	Rag1	433	383	185	1512	2951	2771
ENSMUSG00000061313	Ddhd2	1397	1465	1254	1514	1613	1523
ENSMUSG00000061315	Naca	24212	21930	18863	24566	23959	23992
ENSMUSG00000061322	Dnaic1	3	2	1	1	1	0
ENSMUSG00000061330	Gm11361	42	38	23	31	39	39
ENSMUSG00000061331	Gm17132	5	7	5	20	49	37
ENSMUSG00000061353	Cxcl12	88	85	56	1131	804	1729
ENSMUSG00000061356	Nuggc	9	4	19	13	8	5
ENSMUSG00000061360	Phf5a	3108	3092	2425	2282	2276	2196
ENSMUSG00000061371	Zfp873	145	122	92	228	244	234
ENSMUSG00000061374	Fiz1	1646	1666	1232	1562	1550	1549
ENSMUSG00000061390	Gm7866	3	1	0	1	3	1
ENSMUSG00000061393	Acvr2b	16	14	11	22	43	26
ENSMUSG00000061410	Zcchc14	15	10	11	12	8	13
ENSMUSG00000061411	Nol4l	250	238	198	300	326	281
ENSMUSG00000061414	Cracr2a	279	341	276	148	260	133
ENSMUSG00000061436	Hipk2	1772	2047	1817	8876	8877	10782
ENSMUSG00000061451	Tmem151a	1	0	0	5	1	2
ENSMUSG00000061455	Stx17	1745	1761	1436	2252	2729	2567
ENSMUSG00000061458	Nol10	1240	1255	993	1218	1289	1317
ENSMUSG00000061461	Smim20	888	897	740	1061	1017	1101
ENSMUSG00000061462	Obscn	6	4	7	11	18	17
ENSMUSG00000061474	Mrps36	965	1046	821	951	869	984
ENSMUSG00000061477	Rps7	36326	29941	26120	43018	37117	42057
ENSMUSG00000061479	Snrpa	2912	2765	2141	3358	3146	3535
ENSMUSG00000061482	Hist1h4d	11	23	24	14	31	22
ENSMUSG00000061488	Rpl27a-ps1	2	0	0	0	0	0
ENSMUSG00000061510	Gm10101	28	22	20	13	56	24
ENSMUSG00000061518	Cox5b	5308	5262	3938	5906	5305	5643
ENSMUSG00000061531	Tmem236	2	4	6	15	18	25
ENSMUSG00000061533	Cep128	4554	4401	4016	2720	3840	2783
ENSMUSG00000061535	C1qtnf7	0	1	0	0	0	0
ENSMUSG00000061536	Sec22c	2601	2852	2370	1145	1442	1089
ENSMUSG00000061540	Orm2	0	1	0	0	0	0
ENSMUSG00000061544	Zfp229	169	139	111	228	275	281
